Name,Converterstation 1,Converterstation 2,Length (given) (km),Length (distance*1.2) (km),Power (MW),status,replaces,Ref,x1,y1,x2,y2
Biscay Gulf,Gatica (ES),Cubnezais (FR),370,,2200,built,,https://tyndp.entsoe.eu/tyndp2018/projects/projects/16,-2.867,43.367,-0.408943,45.074191
Italy-France,Piossasco (IT),Grand Ile (FR),190,,1000,under construction,,https://tyndp.entsoe.eu/tyndp2018/projects/projects/21,7.468,44.9898,6.045,45.472
IFA2,Tourbe (FR),Chilling (GB),,2472,1000,under construction,,https://tyndp.entsoe.eu/tyndp2018/projects/projects/25,-0.172042,49.083593,-1.277269,50.839338
Italy-Montenegro,Villanova (IT),Latsva (MT),445,,1200,under construction,Link.14539,https://tyndp.entsoe.eu/tyndp2018/projects/projects/28,14.125,42.3947222222222,18.7947222222222,42.3175
NordLink,Tonstad (NO),Wilster (DE),514,,1400,under construction,,https://tyndp.entsoe.eu/tyndp2018/projects/projects/37,6.716948,58.662631,9.373979,53.922479
COBRA cable,Endrup (DK),Eemshaven (NL),325,,700,built,,https://tyndp.entsoe.eu/tyndp2018/projects/projects/71,8.718392,55.523115,6.835494,53.438589
Thames Estuary Cluster (NEMO-Link),Richborough (GB),Gezelle (BE),140,,1000,built,,https://tyndp.entsoe.eu/tyndp2018/projects/projects/74,1.324854,51.295891,3.23043,51.24902
Anglo-Scottish -1,Hunterston (UK),Deeside (UK),422,,2400,built,,https://tyndp.entsoe.eu/tyndp2018/projects/projects/77,-4.898329,55.723331,-3.032972,53.199735
ALEGrO,Lixhe (BE),Oberzier (DE),100,,1000,built,,https://tyndp.entsoe.eu/tyndp2018/projects/projects/92,5.67933,50.7567965,6.474704,50.867532
North Sea Link,Kvilldal (NO),Blythe (GB),720,,1400,under construction,,https://tyndp.entsoe.eu/tyndp2018/projects/projects/110,6.637527,59.515096,-1.510277,55.126957
HVDC SuedOstLink,Wolmirstedt (DE),Isar (DE),,557,2000,in permitting,,https://tyndp.entsoe.eu/tyndp2018/projects/projects/130,11.629014,52.252137,12.091596,48.080837
HVDC Line A-North,Emden East (DE),Osterath (DE),,284,2000,in permitting,,https://tyndp.entsoe.eu/tyndp2018/projects/projects/132,7.206009,53.359403,6.619451,51.272935
France-Alderney-Britain,Exeter (UK),Menuel (FR),220,,1400,in permitting,,https://tyndp.entsoe.eu/tyndp2018/projects/projects/153,-3.533899,50.718412,-1.469216,49.509594
Viking DKW-GB,Bicker Fen (GB),Revsing (DK),,807,1400,built,,https://tyndp.entsoe.eu/tyndp2018/projects/projects/167,-0.203587,52.93979,9.178363,55.509166
ElecLink,Sellindge (UK),Mandarins (FR),,72,1000,under construction,,https://tyndp.entsoe.eu/tyndp2018/projects/projects/172,0.975555555555556,51.1058333333333,1.78472222222222,50.9030555555556
Greenconnector,Verderio (IT),Sils i.D. (CH),150,,1000,in permitting,,https://tyndp.entsoe.eu/tyndp2018/projects/projects/174,9.439781,45.668539,9.76569,46.432156
Hansa PowerBridge I,Hurva (SE),Guestrow (DE),,283,700,in permitting,,https://tyndp.entsoe.eu/tyndp2018/projects/projects/176,13.6022222222222,55.8330555555556,12.189538,53.803155
HVDC SuedLink,Wilster (DE),Gro gartach (DE),,637,4000,in permitting,,https://www.nsenergybusiness.com/projects/suedlink-hvdc-power-transmission-project/,9.373979,53.922479,9.117193,49.145157
AQUIND Interconnector,Lovedean (GB),Barnabos (FR),254,,2000,in permitting,,https://tyndp2022-project-platform.azurewebsites.net/projectsheets/transmission/247,-1.020512,50.908244,0.991736,49.656631
HVDC Ultranet,Osterath (DE),Philippsburg (DE),,314,600,in permitting,,https://tyndp.entsoe.eu/tyndp2018/projects/projects/254,6.619451,51.272935,8.458036,49.235253
Gridlink,Kingsnorth (UK),Warande (FR),160,,1400,in permitting,,https://tyndp.entsoe.eu/tyndp2018/projects/projects/285,0.596111111111111,51.41972,2.376776,51.034368
NeuConnect,Grain (UK),Fedderwarden (DE),680,,1400,in permitting,,https://tyndp.entsoe.eu/tyndp2018/projects/projects/309,0.716666666666667,51.44,8.046524,53.562763
NordBalt,Klaipeda (LT),Nybro (SE),450,,700,built,,https://en.wikipedia.org/wiki/NordBalt,21.256667,55.681667,15.854167,56.767778
Estlink 1,Harku (EE),Espoo (FI),105,,350,built,,https://en.wikipedia.org/wiki/Estlink,24.560278,59.384722,24.551667,60.203889
Greenlink,Waterford (IE),Pembroke (UK),,180,500,under construction,,https://tyndp2022-project-platform.azurewebsites.net/projectsheets/transmission/286,-6.987,52.260,-4.986,51.686
Celtic Interconnector,Aghada (IE),La Martyre (FR),,572,700,under consideration,,https://tyndp2022-project-platform.azurewebsites.net/projectsheets/transmission/107,-8.16642,51.91413,-4.184,48.459
Aurora line,Viitajarvi (FI),Messaure (SE),,271,900,in permitting,,https://tyndp2022-project-platform.azurewebsites.net/projectsheets/transmission/111,25.1687,66.0849,17.0349,65.3564
DKW-DE Westcoast,Klixb ll (DE),Endrup (DKW),92,,1000,in permitting,,https://tyndp2022-project-platform.azurewebsites.net/projectsheets/transmission/183,8.9729,54.8375,8.4477,55.8148
St. Peter (AT) - Pleinting (DE),Pleinting (DE),St. Peter (AT),60,,1500,in permitting,,https://tyndp2022-project-platform.azurewebsites.net/projectsheets/transmission/187,13.3931,48.6675,14.6881,46.9236
W rmlach (AT) - Somplago (IT),SOMPLAGO (IT),WURMLACH (AT),51,,150,in permitting,,https://tyndp2022-project-platform.azurewebsites.net/projectsheets/transmission/210,12.6534,46.6878,13.2858,46.6112
Merchant line Castasegna,Castasegna (CH),Mese (IT),14,,200,in permitting,,https://tyndp2022-project-platform.azurewebsites.net/projectsheets/transmission/250,9.5309,46.2976,9.0563,46.3318
Isar/Altheim/Ottenhofen (DE) - St.Peter (AT),Ottenhofen (DE),St. Peter (AT),90,,2000,in permitting,,https://tyndp2022-project-platform.azurewebsites.net/projectsheets/transmission/313,12.1131,48.2727,14.6881,46.9236
Dekani (SI) - Zaule (IT) interconnection,Dekani (SI),Zaule (IT),11,,40,in permitting,,https://tyndp2022-project-platform.azurewebsites.net/projectsheets/transmission/323,13.8106,45.5535,13.6325,45.7926
South Balkan Corridor,Bitola (MK),Elbasan (AL),151,,500,in permitting,,https://tyndp2022-project-platform.azurewebsites.net/projectsheets/transmission/350,21.3294,41.0314,20.0822,41.1125
CZ-DE interconnector,Hradec (CZ),Rohrsdorf (DE),82,,,in permitting,,https://tyndp2022-project-platform.azurewebsites.net/projectsheets/transmission/1100,12.6896,49.9748,13.8051,51.0007